"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HMGB2",-1.91994528323212,5.51800867532131,-31.5020765729915,3.96061640353436e-152,8.63018314330138e-148,336.982130849731
"LMNB1",-2.43553682319253,3.61945532871586,-30.0717571299009,2.8593650168581e-142,3.1152781858669e-138,314.361597968143
"MKI67",-2.67826516254128,2.9435013414446,-30.0256859105214,5.9365975784169e-142,4.31194870779014e-138,313.633600088321
"CCNB2",-2.14953372905587,3.98917127246228,-28.8151542305129,1.25372062179806e-133,6.82964308724495e-130,294.531628484956
"WDR76",-1.84611307414804,2.15104459653179,-28.8008923322372,1.57077273222404e-133,6.84542756703235e-130,294.306952704387
"CHAF1B",-1.43793945809277,1.77050909250603,-28.6756930609998,1.1361840515072e-132,4.12624174705697e-129,292.335070519124
"SPC24",-2.25732567373694,2.3465320431048,-28.4012386755918,8.6679741520348e-131,2.69821652532626e-127,288.015430779654
"KIF11",-1.94209635779799,3.01957020473555,-28.3028907053195,4.09274185207972e-130,1.11476056196021e-126,286.468598945388
"NUSAP1",-2.31653938284307,3.56637550201404,-28.2662462399825,7.2965366683705e-130,1.76657260004215e-126,285.892400432972
"TROAP",-2.61615839132751,2.26430384049809,-28.2443350287302,1.03096429771966e-129,2.24647120473114e-126,285.547907923794
"FBXO5",-1.57738200489813,3.06711210553147,-28.2013724430017,2.03033509214846e-129,4.02190924162864e-126,284.872529206961
"FOXM1",-2.25756110943585,3.8500634479907,-28.0521937912357,2.13374705502633e-128,3.87452902741865e-125,282.528341733714
"CCNA2",-2.02707767487001,3.83892690290962,-27.8953726508475,2.5255222559112e-127,4.2331638427927e-124,280.065669559809
"KIF4A",-2.22192773903757,2.43886414206964,-27.7645984829439,1.98029453545485e-126,3.08218699482579e-123,278.013352604038
"PLK4",-1.8865704586757,1.84243139425787,-27.7590813207184,2.15998318891226e-126,3.13773557909321e-123,277.926795723441
"KIF18B",-2.33988322370049,1.65604273926606,-27.7209306274064,3.93784025518328e-126,5.36284619752773e-123,277.328323901426
"TOP2A",-2.37493732137367,4.50731239851505,-27.6281307580337,1.69614575688475e-125,2.17405976720698e-122,275.873021993749
"NCAPG2",-1.53505749306225,3.44412036950113,-27.6218750058354,1.87156737061094e-125,2.26563627808958e-122,275.774941803119
"KIF20A",-2.67094620715943,3.48132336466736,-27.5677116396484,4.38753522307435e-125,5.03181013214685e-122,274.925872744454
"CDCA3",-2.06955718140963,2.98098432306931,-27.5178819098177,9.60600496705607e-125,1.00118493550395e-121,274.144939638271
"FANCD2",-1.60620647880207,1.98681367174798,-27.517598763196,9.64886812555435e-125,1.00118493550395e-121,274.140502712911
"NCAPH",-2.29542015321837,1.68469338499711,-27.4933703207823,1.4122720474703e-124,1.39879126883535e-121,273.760864998158
"NCAPD2",-1.13753314155716,4.83695047396132,-27.2833851376822,3.82752464687752e-123,3.62616356762875e-120,270.472578024325
"CENPA",-2.30461339713046,2.2586094247548,-27.26545947547,5.07194022329817e-123,4.60489906106947e-120,270.192038372232
"CENPH",-1.49145858702652,3.06532711167025,-27.2118920034452,1.17609562202185e-122,1.02508494415425e-119,269.353861237182
"ASPM",-2.25211922038264,2.18174522202272,-27.0582699517157,1.31028687943969e-121,1.09812119626888e-118,266.95149892992
"PRC1",-2.32137293755079,4.04150201805152,-27.0179779648493,2.46491819249282e-121,1.98928027460809e-118,266.321754196169
